"No.","Time","Source","Destination","Protocol","Length","Info"
"39","2.415777","127.0.0.1","127.0.0.1","TCP","56","56514  >  9010 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"40","2.415815","127.0.0.1","127.0.0.1","TCP","56","9010  >  56514 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"41","2.415848","127.0.0.1","127.0.0.1","TCP","44","56514  >  9010 [ACK] Seq=1 Ack=1 Win=2161152 Len=0"
"44","2.416194","127.0.0.1","127.0.0.1","HTTP","639","GET /gc/ws/stomp HTTP/1.1 "
"45","2.416232","127.0.0.1","127.0.0.1","TCP","44","9010  >  56514 [ACK] Seq=1 Ack=596 Win=2160640 Len=0"
"46","2.419330","127.0.0.1","127.0.0.1","HTTP","608","HTTP/1.1 101  "
"47","2.419358","127.0.0.1","127.0.0.1","TCP","44","56514  >  9010 [ACK] Seq=596 Ack=565 Win=2160640 Len=0"
"50","2.420914","127.0.0.1","127.0.0.1","WebSocket","455","WebSocket Text [FIN] [MASKED]"
"51","2.420942","127.0.0.1","127.0.0.1","TCP","44","9010  >  56514 [ACK] Seq=565 Ack=1007 Win=2160128 Len=0"
"62","2.424526","127.0.0.1","127.0.0.1","WebSocket","103","WebSocket Text [FIN] "
"63","2.424545","127.0.0.1","127.0.0.1","TCP","44","56514  >  9010 [ACK] Seq=1007 Ack=624 Win=2160640 Len=0"
"231","12.439806","127.0.0.1","127.0.0.1","WebSocket","53","WebSocket Text [FIN] [MASKED]"
"232","12.439834","127.0.0.1","127.0.0.1","TCP","44","9010  >  56514 [ACK] Seq=624 Ack=1016 Win=2160128 Len=0"
"297","17.587130","127.0.0.1","127.0.0.1","WebSocket","49","WebSocket Text [FIN] "
"298","17.587196","127.0.0.1","127.0.0.1","TCP","44","56514  >  9010 [ACK] Seq=1016 Ack=629 Win=2160640 Len=0"
"357","22.427393","127.0.0.1","127.0.0.1","WebSocket","53","WebSocket Text [FIN] [MASKED]"
"358","22.427446","127.0.0.1","127.0.0.1","TCP","44","9010  >  56514 [ACK] Seq=629 Ack=1025 Win=2160128 Len=0"
"446","27.588841","127.0.0.1","127.0.0.1","WebSocket","49","WebSocket Text [FIN] "
"447","27.588864","127.0.0.1","127.0.0.1","TCP","44","56514  >  9010 [ACK] Seq=1025 Ack=634 Win=2160640 Len=0"
"503","32.436519","127.0.0.1","127.0.0.1","WebSocket","53","WebSocket Text [FIN] [MASKED]"
"504","32.436600","127.0.0.1","127.0.0.1","TCP","44","9010  >  56514 [ACK] Seq=634 Ack=1034 Win=2160128 Len=0"
"527","32.709529","127.0.0.1","127.0.0.1","WebSocket","74","WebSocket Text [FIN] [MASKED]"
"528","32.709557","127.0.0.1","127.0.0.1","TCP","44","9010  >  56514 [ACK] Seq=634 Ack=1064 Win=2160128 Len=0"
"533","32.710655","127.0.0.1","127.0.0.1","WebSocket","76","WebSocket Text [FIN] "
"534","32.710672","127.0.0.1","127.0.0.1","TCP","44","56514  >  9010 [ACK] Seq=1064 Ack=666 Win=2160640 Len=0"
"535","32.712185","127.0.0.1","127.0.0.1","WebSocket","50","WebSocket Connection Close [FIN] [MASKED]"
"536","32.712200","127.0.0.1","127.0.0.1","TCP","44","9010  >  56514 [ACK] Seq=666 Ack=1070 Win=2160128 Len=0"
"537","32.712362","127.0.0.1","127.0.0.1","WebSocket","48","WebSocket Connection Close [FIN] "
"538","32.712380","127.0.0.1","127.0.0.1","TCP","44","56514  >  9010 [ACK] Seq=1070 Ack=670 Win=2160640 Len=0"
"539","32.712748","127.0.0.1","127.0.0.1","TCP","44","9010  >  56514 [FIN, ACK] Seq=670 Ack=1070 Win=2160128 Len=0"
"540","32.712762","127.0.0.1","127.0.0.1","TCP","44","56514  >  9010 [ACK] Seq=1070 Ack=671 Win=2160640 Len=0"
"541","32.712835","127.0.0.1","127.0.0.1","TCP","44","56514  >  9010 [FIN, ACK] Seq=1070 Ack=671 Win=2160640 Len=0"
"542","32.712851","127.0.0.1","127.0.0.1","TCP","44","9010  >  56514 [ACK] Seq=671 Ack=1071 Win=2160128 Len=0"
